"Data Source","World Development Indicators",

"Last Updated Date","2024-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.596959101266614","","","","","","","","","1.34370196163616","","","","",
"Afghanistan","AFG","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.612","0.457","0.519","0.521","0.63","","","","0.255","0.151","0.133","0.151","0.179","0.452","","","","","",
"Africa Western and Central","AFW","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.899706819481673","","","","","","","","","1.1867672222435","","","","",
"Angola","AGO","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.916","","","","","","","0.985","","","","","1.315","","","","","","","","","0.401","","","","","",
"Albania","ALB","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.487","","","4.791","4.921","4.359","4.367","4.39","3.939","3.968","3.95","3.803","3.672","3.633","3.636","3.672","4.244","4.283","","4.25","4.066","4.216","4.453","4.314","","","3.656","","","5.1","5.831","","","",
"Andorra","AND","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.496","","2.689","2.868","3.105","3.283","3.156","3.093","2.909","2.887","3.333","3.229","3.581","","4.208","","","","","","4.365","","","","","","","","",
"Arab World","ARB","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.20231862570008","","","","",
"United Arab Emirates","ARE","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.725","3.696","3.882","3.724","3.652","3.553","3.518","3.454","4.207","3.486","3.254","3.555","3.636","3.85","3.415","3.215","3.029","3.131","2.859","2.897","2.674","2.98","3.175","3.511","4.128","5.176","5.757","5.945","6.035","6.095","6.357","","","",
"Argentina","ARG","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.056","","2.146","","","","0.8","","","0.4453","","","0.4854","","","","","","","","","4.2463","","","2.573","2.593","","","5.447","","","",
