state,year,disease,cases,deaths
Al Jazirah,2018,Acute Tonsillitis,16,0
Al Qadarif,2018,Acute Tonsillitis,27,0
Blue Nile,2018,Acute Tonsillitis,18,0
Central Darfur,2018,Acute Tonsillitis,2,0
East Darfur,2018,Acute Tonsillitis,2,0
Kassala,2018,Acute Tonsillitis,41,0
Khartoum,2018,Acute Tonsillitis,15,0
North Darfur,2018,Acute Tonsillitis,9,0
North Kordofan,2018,Acute Tonsillitis,23,0
Northern,2018,Acute Tonsillitis,41,0
Red Sea,2018,Acute Tonsillitis,28,0
River Nile,2018,Acute Tonsillitis,43,0
Sennar,2018,Acute Tonsillitis,23,0
South Darfur,2018,Acute Tonsillitis,4,0
South Kordofan,2018,Acute Tonsillitis,7,0
West Darfur,2018,Acute Tonsillitis,9,0
West Kordofan,2018,Acute Tonsillitis,4,0
White Nile,2018,Acute Tonsillitis,7,0
Al Jazirah,2018,Diabetes Mellitus,12,0
Al Qadarif,2018,Diabetes Mellitus,31,0
Blue Nile,2018,Diabetes Mellitus,18,0
Central Darfur,2018,Diabetes Mellitus,0,0
East Darfur,2018,Diabetes Mellitus,1,0
Kassala,2018,Diabetes Mellitus,33,0
Khartoum,2018,Diabetes Mellitus,14,0
North Darfur,2018,Diabetes Mellitus,7,0
North Kordofan,2018,Diabetes Mellitus,9,0
Northern,2018,Diabetes Mellitus,43,0
Red Sea,2018,Diabetes Mellitus,24,0
River Nile,2018,Diabetes Mellitus,69,0
Sennar,2018,Diabetes Mellitus,17,0
South Darfur,2018,Diabetes Mellitus,1,0
South Kordofan,2018,Diabetes Mellitus,2,0
West Darfur,2018,Diabetes Mellitus,2,0
West Kordofan,2018,Diabetes Mellitus,4,0
White Nile,2018,Diabetes Mellitus,13,0
Al Jazirah,2018,Diarrhoea Gastroenteritis,35,0
Al Qadarif,2018,Diarrhoea Gastroenteritis,31,0
Blue Nile,2018,Diarrhoea Gastroenteritis,70,0
Central Darfur,2018,Diarrhoea Gastroenteritis,20,0
East Darfur,2018,Diarrhoea Gastroenteritis,15,0
Kassala,2018,Diarrhoea Gastroenteritis,65,0
Khartoum,2018,Diarrhoea Gastroenteritis,15,0
North Darfur,2018,Diarrhoea Gastroenteritis,14,0
North Kordofan,2018,Diarrhoea Gastroenteritis,44,0
Northern,2018,Diarrhoea Gastroenteritis,45,0
Red Sea,2018,Diarrhoea Gastroenteritis,50,0
River Nile,2018,Diarrhoea Gastroenteritis,55,0
