GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
DEVICES21,Total density per million population: Telecobalt Unit,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-telecobalt-unit,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.09,0.09,,
DEVICES22,Total density per million population: Radiotherapy units,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-radiotherapy-units,2021,2017,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.27367,0.27,,
DEVICES18,Availability of national list of approved medical devices for procurement or reimbursement,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-national-list-of-approved-medical-devices-for-procurement-or-reimbursement,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
DEVICES07,Types of lists recommending health technology for high burden diseases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/types-of-lists-recommending-health-technology-for-high-burden-diseases,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,,One or more lists,,
DEVICES15,Health technology (medical device) national policy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/health-technology-%28medical-device%29-national-policy,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,,"Yes, but it is not part of the National Health Program",,
DEVICES17,Procurement of medical devices carried out at the national level,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/procurement-of-medical-devices-carried-out-at-the-national-level,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
DEVICES21,Total density per million population: Telecobalt Unit,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-telecobalt-unit,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.10536,0.11,,
DEVICES08,Total density per million population: Magnetic Resonance Imaging,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-magnetic-resonance-imaging,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.28,0.28,,
DEVICES19,"National guidelines, policies or recommendations on the procurement of medical devices",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-guidelines-policies-or-recommendations-on-the-procurement-of-medical-devices,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
HRH_45,Biomedical technicians density (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/biomedical-technicians-density-%28per-10-000-population%29,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No data,,
DEVICES15,Health technology (medical device) national policy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/health-technology-%28medical-device%29-national-policy,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
DEVICES18,Availability of national list of approved medical devices for procurement or reimbursement,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-national-list-of-approved-medical-devices-for-procurement-or-reimbursement,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,No,,
HRH_46,Number of biomedical technicians,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-biomedical-technicians,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No data,,
DEVICES22,Total density per million population: Radiotherapy units,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-radiotherapy-units,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.16,0.16,,
DEVICES16,Unit in the Ministry of Health responsible for the management of medical devices,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/unit-in-the-ministry-of-health-responsible-for-the-management-of-medical-devices,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
DEVICES09,Total density per million population: Computed tomography units,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-computed-tomography-units,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,1.13264,1.13,,
DEVICES12,Total density per million population: Linear Accelerator,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-linear-accelerator,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.07,0.07,,
DEVICES16,Unit in the Ministry of Health responsible for the management of medical devices,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/unit-in-the-ministry-of-health-responsible-for-the-management-of-medical-devices,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,Yes,,
DEVICES20,Availability of technical specifications of medical devices to support procurement or donations,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-technical-specifications-of-medical-devices-to-support-procurement-or-donations,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,Yes but not publically available,,
DEVICES19,"National guidelines, policies or recommendations on the procurement of medical devices",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-guidelines-policies-or-recommendations-on-the-procurement-of-medical-devices,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,No,,
