GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,7.6,7.6,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,8.2,8.2,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,15.34,15.34,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,15.93,15.93,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,80.99,80.99,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,8.38,8.38,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),30.47,30.47,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,75.03,75.03,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,,,,6.6,6.6,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,79.01,79.01,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,14.42,14.42,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2019,2019,2019,EMR,Eastern Mediterranean,SDN,Sudan,,,,6.6,6.6,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,7.3,7.3,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,,,,6.7,6.7,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.0,0,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,8.2,8.2,,
