,year,where_coordinates,total_deaths,Item,Value,Cholera case fatality rate,Gross national income per capita (Atlas method),Number of cases of visceral leishmaniasis reported,Number of deaths among children 5 to 14 years of age,Number of diarrhoea deaths from inadequate water,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),Total fertility rate (per woman),Total number of notified TB cases
3749,1990,Lafon town,35.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
54,1990,Melut town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
53,1990,Bahr al Ghazal province,9.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
52,1990,Juba town,5.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
51,1990,Rumbek town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
50,1990,Rumbek town,19.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
49,1990,Juba town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
48,1990,Malakal town,1.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
47,1990,Bahr al Ghazal province,3.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
46,1990,Upper Nile province,3.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
45,1990,Between Wau and Gogrial in southern Bahr al-Ghazal,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
44,1990,Yei town,1.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
43,1990,Road between towns of Juba and Yei,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
42,1990,Western Equatoria province,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
41,1990,Juba town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
40,1990,Rumbek town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
55,1990,Road between towns of Juba and Yei,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
56,1990,Torit town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
57,1990,Upper Nile province,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
58,1990,Upper Nile province,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
1182,1990,Shawaya village,3.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
1183,1990,Tira town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
1184,1990,Atbara town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
72,1990,Torit town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
71,1990,Juba town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
70,1990,Yei town,1.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
69,1990,Upper Nile province,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
39,1990,Southern Sudan,7.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
68,1990,Bor town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
66,1990,Juba town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
65,1990,Road between towns of Juba and Yei,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
64,1990,440 km from Darfur (representation point),0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
63,1990,Road between towns of Juba and Yei,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
61,1990,Kaka town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
60,1990,Between Maridi and Yei,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
59,1990,Between Maridi and Yei,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
