,year,where_coordinates,total_deaths,GDP Deflator Value
31,1989,Rumbek town,12.0,51.5519339622
21,1989,Kadugli town,61.0,51.5519339622
23,1989,Kajo Kaji town,1.0,51.5519339622
24,1989,Kurmuk town,2.0,51.5519339622
25,1989,Road between towns of Juba and Yei,0.0,51.5519339622
26,1989,Eastern Sudan,0.0,51.5519339622
27,1989,Yirol town,5.0,51.5519339622
28,1989,Kordofan,2.0,51.5519339622
29,1989,Waat town,2.0,51.5519339622
30,1989,Rumbek town,4.0,51.5519339622
32,1989,Kadugli town,3.0,51.5519339622
33,1989,Rumbek town,13.0,51.5519339622
34,1989,Upper Nile province,9.0,51.5519339622
35,1989,Equatoria,8.0,51.5519339622
36,1989,Aweil town,4.0,51.5519339622
2529,1989,Jebel Marra area,1500.0,51.5519339622
20,1989,Korongo Abdullah hill,0.0,51.5519339622
19,1989,Southern Kordofan province,6.0,51.5519339622
22,1989,Waat town,0.0,51.5519339622
17,1989,Juba town,0.0,51.5519339622
2530,1989,Southern Darfur province,0.0,51.5519339622
2682,1989,Geneina town,18.0,51.5519339622
948,1989,el-Lagowa town,0.0,51.5519339622
949,1989,Jebelein town,1000.0,51.5519339622
2531,1989,Darfur,0.0,51.5519339622
18,1989,Juba town,0.0,51.5519339622
7,1989,Darfur,0.0,51.5519339622
8,1989,Darfur,30.0,51.5519339622
2532,1989,Nyala town,0.0,51.5519339622
13,1989,Southern Sudan,2700.0,51.5519339622
14,1989,Nasir town,100.0,51.5519339622
15,1989,Juba town,16.0,51.5519339622
16,1989,Juba town,16.0,51.5519339622
66,1990,Juba town,0.0,53.4816928382
75,1990,Upper Nile province,0.0,53.4816928382
74,1990,Upper Nile province,0.0,53.4816928382
73,1990,Torit town,0.0,53.4816928382
72,1990,Road between towns of Juba and Yei,0.0,53.4816928382
70,1990,Bahr al Ghazal province,9.0,53.4816928382
65,1990,Malakal town,1.0,53.4816928382
76,1990,Between Maridi and Yei,0.0,53.4816928382
68,1990,Rumbek town,0.0,53.4816928382
69,1990,Juba town,5.0,53.4816928382
67,1990,Rumbek town,19.0,53.4816928382
71,1990,Melut town,0.0,53.4816928382
77,1990,Between Maridi and Yei,0.0,53.4816928382
2617,1990,Lafon town,35.0,53.4816928382
79,1990,Southern Sudan,0.0,53.4816928382
80,1990,Road between towns of Juba and Yei,0.0,53.4816928382
81,1990,440 km from Darfur (representation point),0.0,53.4816928382
82,1990,Road between towns of Juba and Yei,0.0,53.4816928382
83,1990,Juba town,0.0,53.4816928382
84,1990,Southern Sudan,0.0,53.4816928382
85,1990,Bor town,0.0,53.4816928382
86,1990,Upper Nile province,0.0,53.4816928382
87,1990,Yei town,1.0,53.4816928382
64,1990,Bahr al Ghazal province,3.0,53.4816928382
88,1990,Juba town,0.0,53.4816928382
89,1990,Torit town,0.0,53.4816928382
954,1990,Tira town,0.0,53.4816928382
955,1990,Atbara town,0.0,53.4816928382
78,1990,Kaka town,0.0,53.4816928382
63,1990,Upper Nile province,3.0,53.4816928382
53,1990,Maridi town,0.0,53.4816928382
61,1990,Yei town,1.0,53.4816928382
937,1990,Kutum town,7.0,53.4816928382
950,1990,Nuba Mountains district,200.0,53.4816928382
951,1990,Nuba Mountains district,60.0,53.4816928382
9,1990,Darfur,0.0,53.4816928382
10,1990,Sudan/Chad border (near),0.0,53.4816928382
952,1990,Juba town,0.0,53.4816928382
953,1990,Shawaya village,3.0,53.4816928382
37,1990,Kajo Kaji town,7.0,53.4816928382
38,1990,Tabuli town,26.0,53.4816928382
62,1990,Between Wau and Gogrial in southern Bahr al-Ghazal,0.0,53.4816928382
40,1990,Morobo town,0.0,53.4816928382
41,1990,Juba town,15.0,53.4816928382
42,1990,Yei town,0.0,53.4816928382
43,1990,Bentiu town,0.0,53.4816928382
44,1990,Kadugli town,0.0,53.4816928382
39,1990,Kaya town,0.0,53.4816928382
46,1990,Juba town,0.0,53.4816928382
58,1990,Juba town,0.0,53.4816928382
45,1990,Road between towns of Juba and Yei,9.0,53.4816928382
59,1990,Western Equatoria province,0.0,53.4816928382
60,1990,Road between towns of Juba and Yei,0.0,53.4816928382
57,1990,Rumbek town,0.0,53.4816928382
56,1990,Southern Sudan,7.0,53.4816928382
55,1990,Upper Nile province,3.0,53.4816928382
52,1990,Western Nuer district,0.0,53.4816928382
51,1990,Kagwada village,0.0,53.4816928382
50,1990,Juba town,3.0,53.4816928382
49,1990,Western Equatoria province,0.0,53.4816928382
48,1990,Equatoria,0.0,53.4816928382
47,1990,Kajo Kaji town,8.0,53.4816928382
54,1990,Ayod town,0.0,53.4816928382
2331,1991,Wernyol village,8.0,44.9528160811
2330,1991,Duk Faiwil village,9.0,44.9528160811
2332,1991,Kongor town,3.0,44.9528160811
956,1991,Tira town,0.0,44.9528160811
2334,1991,Jalle village,20.0,44.9528160811
2335,1991,Paliau village,1.0,44.9528160811
2336,1991,Bor town,1360.0,44.9528160811
957,1991,Hillat Saburi village,250.0,44.9528160811
2538,1991,Bor town,0.0,44.9528160811
2539,1991,Southern Sudan,0.0,44.9528160811
2333,1991,Jonglei village,600.0,44.9528160811
108,1991,Juba town,53.0,44.9528160811
97,1991,Bahr al Ghazal state,51.0,44.9528160811
95,1991,Upper Nile state,0.0,44.9528160811
102,1991,Aweil town,8.0,44.9528160811
103,1991,Nasir town,0.0,44.9528160811
104,1991,Eastern Equatoria district,0.0,44.9528160811
105,1991,Jokau town,1.0,44.9528160811
96,1991,Maridi town,0.0,44.9528160811
106,1991,Upper Nile state,0.0,44.9528160811
101,1991,Bahr al Ghazal state,0.0,44.9528160811
107,1991,Juba town,0.0,44.9528160811
93,1991,Upper Nile state,0.0,44.9528160811
92,1991,Malakal town,0.0,44.9528160811
99,1991,Rokon town,0.0,44.9528160811
98,1991,Bahr al Ghazal state,101.0,44.9528160811
91,1991,Upper Nile state,0.0,44.9528160811
90,1991,Southern Kordofan district,6.0,44.9528160811
94,1991,Maridi town,0.0,44.9528160811
100,1991,Equatoria state,0.0,44.9528160811
109,1992,Southern Sudan,100.0,45.9772504469
966,1992,Kapoeta town,6.0,45.9772504469
965,1992,Karakandi town,300.0,45.9772504469
2337,1992,Pagarau town,63.0,45.9772504469
2341,1992,Wernyol village,11.0,45.9772504469
2339,1992,Upper Nile state,63.0,45.9772504469
2340,1992,Paliau village,3.0,45.9772504469
967,1992,Kapoeta town,6.0,45.9772504469
2342,1992,Duk-Padiet town,68.0,45.9772504469
963,1992,Bahr al Ghazal state,0.0,45.9772504469
962,1992,Yirol town,5.0,45.9772504469
961,1992,Nuba Mountains district,40.0,45.9772504469
960,1992,Nuba Mountains district,200.0,45.9772504469
959,1992,Juba town,200.0,45.9772504469
958,1992,Khartoum city,15.0,45.9772504469
2535,1992,Torit town,0.0,45.9772504469
2536,1992,Nimule town,0.0,45.9772504469
2540,1992,Kajo Kaji town,1.0,45.9772504469
2541,1992,Jonglei district,1000.0,45.9772504469
2338,1992,Upper Nile state,63.0,45.9772504469
968,1992,Kapoeta town,28.0,45.9772504469
964,1992,Pibor Post,32.0,45.9772504469
970,1992,Pagarau town,2.0,45.9772504469
1959,1992,Equatoria state,7.0,45.9772504469
1960,1992,Magwe town,2.0,45.9772504469
1961,1992,Magwe town,1.0,45.9772504469
969,1992,Nyima Hills village,40.0,45.9772504469
120,1992,Juba town,40.0,45.9772504469
119,1992,Juba town,0.0,45.9772504469
118,1992,Juba town,40.0,45.9772504469
117,1992,Juba town,70.0,45.9772504469
116,1992,Juba town,0.0,45.9772504469
115,1992,Juba town,0.0,45.9772504469
114,1992,Bahr al Ghazal state,0.0,45.9772504469
113,1992,Juba town,0.0,45.9772504469
112,1992,Southern Sudan,7.0,45.9772504469
111,1992,Darfur state,0.0,45.9772504469
110,1992,Juba town,0.0,45.9772504469
1958,1992,Lafon town,1.0,45.9772504469
1957,1992,Pathai village,4.0,45.9772504469
1962,1992,Equatoria state,7.0,45.9772504469
1955,1992,Jonglei district,2.0,45.9772504469
2485,1992,Narus town,200.0,45.9772504469
971,1992,Juba town,300.0,45.9772504469
972,1992,Juba town,0.0,45.9772504469
973,1992,Lagawa town,10.0,45.9772504469
1956,1992,Lotuke,3.0,45.9772504469
975,1992,Abri town,16.0,45.9772504469
976,1992,Delami town,15.0,45.9772504469
977,1992,Nuba Mountains district,22.0,45.9772504469
978,1992,Nuba Mountains district,100.0,45.9772504469
974,1992,Lagawa town,10.0,45.9772504469
980,1992,Karkaray al-Beira town,0.0,45.9772504469
1952,1992,Pathai village,2.0,45.9772504469
1953,1992,Pagau town,130.0,45.9772504469
1954,1992,Duk-Padiet town,2.0,45.9772504469
979,1992,Jebel Heiban town,200.0,45.9772504469
2557,1993,Waat town,0.0,47.0670674195
990,1993,Lol river,300.0,47.0670674195
989,1993,Bahr al Ghazal state,9.0,47.0670674195
988,1993,Aweil town,22.0,47.0670674195
987,1993,Wau town,37.0,47.0670674195
984,1993,Eastern Equatoria district,3.0,47.0670674195
985,1993,Aweil town,178.0,47.0670674195
2556,1993,Kongor town,0.0,47.0670674195
981,1993,Train from Babanussa to Wau,3.0,47.0670674195
982,1993,Karkaray al-Beira town,0.0,47.0670674195
983,1993,Karic town,3.0,47.0670674195
986,1993,Train from Babanussa to Wau,3.0,47.0670674195
2555,1993,Yuai town,0.0,47.0670674195
1964,1993,Kuac Deng,5.0,47.0670674195
2553,1993,Ayod town,0.0,47.0670674195
2490,1993,Kordofan state,108.0,47.0670674195
