GHO (CODE),YEAR (DISPLAY),STARTYEAR,ENDYEAR,DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Low,High
MALARIA_CONF_CASES,2020,2020,2020,N/A,N/A,N/A,1698394.0,0.0,0.0
MALARIA_EST_MORTALITY,2021,2021,2021,N/A,N/A,N/A,16.19,5.75,34.16
MALARIA_EST_MORTALITY,2014,2014,2014,N/A,N/A,N/A,9.01,3.88,15.78
MALARIA_SUSPECTS,2017,2017,2017,N/A,N/A,N/A,3691112.0,0.0,0.0
MALARIA_EST_MORTALITY,2012,2012,2012,N/A,N/A,N/A,7.71,3.36,13.28
MALARIA_RDT_POS,2020,2020,2020,N/A,N/A,N/A,435553.0,0.0,0.0
MALARIA_EST_INCIDENCE,2001,2001,2001,N/A,N/A,N/A,81.6,53.16,119.52
MALARIA_RDT_POS,2016,2016,2016,N/A,N/A,N/A,187707.0,0.0,0.0
MALARIA_RDT_POS,2023,2023,2023,N/A,N/A,N/A,54481.0,0.0,0.0
MALARIA_PF_INDIG,2020,2020,2020,N/A,N/A,N/A,1272738.0,0.0,0.0
MALARIA_EST_INCIDENCE,2003,2003,2003,N/A,N/A,N/A,57.6,35.48,89.08
MALARIA_RDT_POS,2018,2018,2018,N/A,N/A,N/A,386473.0,0.0,0.0
MALARIA_TOTAL_CASES,2021,2021,2021,N/A,N/A,N/A,3960654.0,0.0,0.0
MALARIA_EST_INCIDENCE,2011,2011,2011,N/A,N/A,N/A,31.01,23.13,40.91
MALARIA_MICR_POS,2017,2017,2017,N/A,N/A,N/A,588100.0,0.0,0.0
MALARIA_PF_INDIG,2018,2018,2018,N/A,N/A,N/A,1286915.0,0.0,0.0
MALARIA_EST_MORTALITY,2018,2018,2018,N/A,N/A,N/A,13.3,4.27,30.15
MALARIA_MICR_TEST,2020,2020,2020,N/A,N/A,N/A,5568277.0,0.0,0.0
MALARIA_CONF_CASES,2022,2022,2022,N/A,N/A,N/A,1355789.0,0.0,0.0
MALARIA_EST_INCIDENCE,2012,2012,2012,N/A,N/A,N/A,31.49,23.5,41.43
MALARIA_PRES_CASES,2020,2020,2020,N/A,N/A,N/A,1714105.0,0.0,0.0
MALARIA_EST_INCIDENCE,2002,2002,2002,N/A,N/A,N/A,62.87,39.56,97.94
MALARIA_EST_INCIDENCE,2018,2018,2018,N/A,N/A,N/A,56.2,26.09,106.18
MALARIA_INDIG,2016,2016,2016,N/A,N/A,N/A,566015.0,0.0,0.0
MALARIA_INDIG,2018,2018,2018,N/A,N/A,N/A,1648683.0,0.0,0.0
MALARIA_PV_INDIG,2022,2022,2022,N/A,N/A,N/A,124730.0,0.0,0.0
MALARIA_EST_MORTALITY,2008,2008,2008,N/A,N/A,N/A,9.03,3.84,15.82
MALARIA_SUSPECTS,2021,2021,2021,N/A,N/A,N/A,8145586.0,0.0,0.0
MALARIA_MICR_POS,2016,2016,2016,N/A,N/A,N/A,378308.0,0.0,0.0
MALARIA_EST_INCIDENCE,2015,2015,2015,N/A,N/A,N/A,40.26,26.31,59.41
MALARIA_CONF_CASES,2018,2018,2018,N/A,N/A,N/A,1648683.0,0.0,0.0
MALARIA_EST_MORTALITY,2015,2015,2015,N/A,N/A,N/A,9.86,4.05,18.17
MALARIA_PV_INDIG,2021,2021,2021,N/A,N/A,N/A,175590.0,0.0,0.0
MALARIA_EST_MORTALITY,2019,2019,2019,N/A,N/A,N/A,14.65,4.88,32.17
MALARIA_EST_MORTALITY,2023,2023,2023,N/A,N/A,N/A,15.93,5.55,34.48
MALARIA_EST_MORTALITY,2010,2010,2010,N/A,N/A,N/A,7.64,3.31,13.11
MALARIA_PRES_CASES,2021,2021,2021,N/A,N/A,N/A,2312910.0,0.0,0.0
MALARIA_MICR_TEST,2016,2016,2016,N/A,N/A,N/A,3236118.0,0.0,0.0
MALARIA_EST_INCIDENCE,2017,2017,2017,N/A,N/A,N/A,51.22,25.16,92.61
MALARIA_MICR_TEST,2022,2022,2022,N/A,N/A,N/A,4665151.0,0.0,0.0
MALARIA_EST_INCIDENCE,2023,2023,2023,N/A,N/A,N/A,68.07,34.21,124.44
MALARIA_MICR_TEST,2019,2019,2019,N/A,N/A,N/A,4797856.0,0.0,0.0
MALARIA_TOTAL_CASES,2017,2017,2017,N/A,N/A,N/A,1642058.0,0.0,0.0
MALARIA_PF_INDIG,2023,2023,2023,N/A,N/A,N/A,262698.0,0.0,0.0
MALARIA_EST_MORTALITY,2002,2002,2002,N/A,N/A,N/A,15.41,6.05,29.69
MALARIA_PF_INDIG,2017,2017,2017,N/A,N/A,N/A,580145.0,0.0,0.0
MALARIA_PRES_CASES,2023,2023,2023,N/A,N/A,N/A,950116.0,0.0,0.0
MALARIA_PV_INDIG,2019,2019,2019,N/A,N/A,N/A,194904.0,0.0,0.0
