GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),COUNTRY (DISPLAY),DIMENSION (NAME),Average
#indicator+code,#indicator+name,#date+year,#country+name,#dimension+name,0
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),2030,Sudan,Male,12.11297
FINPROTECTION_IMP_PRELPL_POP,"Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",2029,Sudan,Female,19.59
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2028,Sudan,Urban,0.111025
CM_01,Number of under-five deaths,2027,Sudan,Female,48518.5
MORT_100,Number of deaths,2026,Sudan,Both sexes,89.05893
MORT_300,Distribution of causes of death among children aged < 5 years (%),2025,Sudan,0-27 days,0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2025,Sudan,0-4 years,0.05532
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2024,Sudan,Urban,0.0543
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),2024,Sudan,Female,26.649185
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2023,Sudan,Both sexes,451194.0274
TB_c_newinc,Tuberculosis - new and relapse cases,2023,Sudan,,27562
DEVICES21,Total density per million population: Telecobalt Unit,2023,Sudan,,0.09
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2023,Sudan,Female,15324.77952
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2023,Sudan,Both sexes,10171
NCD_PAC_ADO,Insufficiently active (crude estimate),2023,Sudan,Male,88.1703
LIFE_0000000034,Tx - person-years lived above age x,2023,Sudan,Both sexes,4471987.93
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),2022,Sudan,,8
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,2022,Sudan,,57.64
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),2022,Sudan,Female,0
MORT_200,Deaths per 1 000 live births,2022,Sudan,0-27 days,9.97029
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",2022,Sudan,All types,0.11562
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2022,Sudan,Urban,28.85
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2022,Sudan,Both sexes,10.86608
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",2022,Sudan,Both sexes,16.49084
NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2022,Sudan,Female,37.331545
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),2022,Sudan,Mild,22.65
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2022,Sudan,Q2,5
MORT_300,Distribution of causes of death among children aged < 5 years (%),2022,Sudan,0-4 years,0.10911
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2022,Sudan,Both sexes,0.15103
MORT_300,Distribution of causes of death among children aged < 5 years (%),2022,Sudan,1-59 months,0.1244
CM_04,Number of deaths among children ages 5 to 9 years,2022,Sudan,Male,5768.5
CM_01,Number of under-five deaths,2022,Sudan,Female,46872.5
WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),2022,Sudan,,58
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2022,Sudan,24 to 59 months,3.3
LIFE_0000000035,ex - expectation of life at age x,2022,Sudan,Both sexes,22.01865
MORT_100,Number of deaths,2022,Sudan,Both sexes,18495.8907
HIV_0000000026,Number of new HIV infections,2022,Sudan,Both sexes,3100
SA_0000001818,"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption, projections",2022,Sudan,Both sexes,0.05817
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",2022,Sudan,Male,3.8
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2022,Sudan,Male,36.15
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2022,Sudan,Female,37.367905
LIFE_0000000031,lx - number of people left alive at age x,2022,Sudan,Female,92000.66846
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2022,Sudan,Male,91.78582
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",2022,Sudan,Male,17.37109
MORT_100,Number of deaths,2022,Sudan,Both sexes,203.6696
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),2022,Sudan,Both sexes,0
MALARIA_CONF_CASES,Number of confirmed malaria cases,2022,Sudan,,203491
MORT_100,Number of deaths,2022,Sudan,Both sexes,262.7511
ORALHEALTH_AVAILABILITY_RESTORATIVE,Oral health: Basic restorative dental procedures to treat existing dental decay,2022,Sudan,,0
TB_ret_rel_ep,Relapse cases: extrapulmonary,2022,Sudan,,56
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),2022,Sudan,,9.44
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),2022,Sudan,Moderate,128.95
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2022,Sudan,Wealth - Bottom 80%,4.25
MORT_100,Number of deaths,2022,Sudan,Both sexes,4.54263
LIFE_0000000035,ex - expectation of life at age x,2022,Sudan,Both sexes,64.68239
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2022,Sudan,36 to 41 months,11.65
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),2022,Sudan,,46.26189
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2022,Sudan,Total,22.75
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2022,Sudan,Urban,13.45
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2022,Sudan,Moderate,1588
TB_hivtest_pct,TB patients with known HIV status (%),2022,Sudan,,17
MORT_300,Distribution of causes of death among children aged < 5 years (%),2022,Sudan,1-59 months,0.22274
CM_01,Number of under-five deaths,2022,Sudan,Female,53952
