,name,amenity,addr_city,osm_id,osm_type,geometry,name_english,Latitude,Longitude,City,State
0,صيدلية الاوركيدة,pharmacy,,7069338988,nodes,POINT (32.4916878 15.4509373),Orchid Pharmacy,15.4509373,32.4916878,Khartoum,Khartoum
1,صيدلية ابو المقداد 9,pharmacy,,7066463168,nodes,POINT (32.489563 15.4430628),Abu Al-Muqdad Pharmacy 9,15.4430628,32.489563,Khartoum,Khartoum
2,صيدلية اواب,pharmacy,,7066472417,nodes,POINT (32.4903107 15.4404373),Awab Pharmacy,15.4404373,32.4903107,Khartoum,Khartoum
3,صيدلية التفاح الاخضر,pharmacy,,6898081298,nodes,POINT (32.6189537 15.5984329),Green Apple Pharmacy,15.5984329,32.6189537,Khartoum,Khartoum
4,Africa pharmcy,pharmacy,,4548525889,nodes,POINT (32.5694639 15.5330492),Africa pharmcy,15.5330492,32.5694639,Khartoum,Khartoum
5,أم حريزات,doctors,,5384994969,nodes,POINT (33.4733517 14.8036371),Umm Harizat,14.8036371,33.4733517,Al Hasaheisa,Gezira
6,مستشفي اربجي الريفي,hospital,,6092481529,nodes,POINT (33.3525065 14.7264294),Arbaji Rural Hospital,14.7264294,33.3525065,Al Hasaheisa,Gezira
7,مستشفي الحصاحيصا التعليمي,hospital,الحصاحيصا,6840044075,nodes,POINT (33.2983151 14.7299751),Hasahisa Teaching Hospital,14.7299751,33.2983151,Al Hasaheisa,Gezira
8,,hospital,,10019056054,nodes,POINT (33.0226014 14.2251635),,14.2251635,33.0226014,Al Manaqil,Gezira
9,صيدلية ام القري,pharmacy,,6918292077,nodes,POINT (33.2999175 14.7387066),Umm Al Qura Pharmacy,14.7387066,33.2999175,Al Hasaheisa,Gezira
10,صيدلية الدكاترة,pharmacy,,6918292076,nodes,POINT (33.3004108 14.7387891),Doctors Pharmacy,14.7387891,33.3004108,Al Hasaheisa,Gezira
11,صيدلية عباد الرحمن,pharmacy,,6960520585,nodes,POINT (33.5397245 13.8217859),Abbad Al Rahman Pharmacy,13.8217859,33.5397245,Sinnar,Sennar
12,مركز المزارعين الصحي,clinic,,8118574417,nodes,POINT (34.148928 13.9587969),Farmers Health Center,13.9587969,34.148928,Sinnar,Sennar
13,,pharmacy,,2278069851,nodes,POINT (36.3955747 15.4557589),,15.4557589,36.3955747,Kassala,Kassala
14,عمر بن الخطاب - عيادة محولة,clinic,,4855040422,nodes,POINT (32.563093 15.539468),Omar Bin Al-Khattab - Converted Clinic,15.539468,32.563093,Khartoum,Khartoum
15,صيدلية الرشيد الحديثة,pharmacy,,7004827901,nodes,POINT (32.5356865 15.5275621),Al Rashid Modern Pharmacy,15.5275621,32.5356865,Khartoum,Khartoum
16,صيدلية المتخصصة,pharmacy,,6834089410,nodes,POINT (32.5476554 15.5308806),Specialized Pharmacy,15.5308806,32.5476554,Khartoum,Khartoum
17,صيدلية المطار الحديثة,pharmacy,,7074526372,nodes,POINT (33.5395935 14.3928487),Modern Airport Pharmacy,14.3928487,33.5395935,Wad Medani,Gezira
18,صيدلية عزة,pharmacy,,7074526371,nodes,POINT (33.5248292 14.3983607),Azza Pharmacy,14.3983607,33.5248292,Wad Medani,Gezira
19,صيدلية التامين المركزية,pharmacy,,7074526370,nodes,POINT (33.5252717 14.3983555),Central Insurance Pharmacy,14.3983555,33.5252717,Wad Medani,Gezira
20,مستشفي ود مدني,hospital,,4662886971,nodes,POINT (33.5265425 14.3965021),Wad Madani Hospital,14.3965021,33.5265425,Wad Medani,Gezira
21,Reval Pharmacy,pharmacy,,4631470290,nodes,POINT (32.5797256 15.55909),Reval Pharmacy,15.55909,32.5797256,Khartoum,Khartoum
22,صيدلية سمر بلس,pharmacy,,4650703691,nodes,POINT (32.5785809 15.5624431),Summer Plus Pharmacy,15.5624431,32.5785809,Khartoum,Khartoum
23,صيدلية الهرم,pharmacy,,7007940873,nodes,POINT (32.577831 15.5636307),Al Haram Pharmacy,15.5636307,32.577831,Khartoum,Khartoum
